ترتيب,قائمة الله,,قائمة الرحمن,,قائمة الرحيم,,
1,الله,50,الرحمن,52,الرحيم,65,
2,المحيط,69,م الك الملك,54,القدير,66,
3,التواب,107,العليم,64,الولى,79,
4,البارئ,100,الحكيم,66,النصير,60,
5,الواسع,70,البصير,61,الرؤف,61,
6,بديع السم ا وات و الارض,191,السميع ,67,الشاكر,85,
7,القريب,68,العزيز,60,الغفور,61,
8,القيوم,83,الحليم,69,المولى,79,
9,الحميد,65,الخبير,60,العفو,63,
10,الوهاب,105,الحى,65,المجيب,60,
11,جامع الناس,134,العلى,64,الودود,78,
12,المقيت,70,العظيم,60,المستعان,98,
13,عل ام الغيوب,83,الغنى,59,الحفى,65,
14,فاطر السموت و الارض,217,القائم بالقسط,171,الغف ا ر,44,
15,كاشف الضر,85,الشهيد,60,الهادى,100,
16,القاهر,94,الوكيل,80,الكريم,59,
17,القادر,92,الرقيب,68,الشكور,62,
18,علم الغيب و الشهده,131,الحسيب,74,غافر الذنب,87,
19,فالق الاصباح,186,الكبير,61,البر,46,
20,المخرج,44,الحق,59,السل ا م,55,
21,الخ الق,56,الحكم,52,المؤمن,62,
22,اللطيف,66,القوى,83,21,1435,
23,الاخذ بالناصية,188,الحفيظ,65,,,
24,المجيد,58,الغالب,90,,,
25,فعال لما يريد,118,الوالى,119,,,
26,الواحد,68,الكفيل,63,,,
27,القهار,94,الملك,49,,,
28,المتعال,94,رفيع الدرج ات,64,,,
29,الخل ا ق,56,المليك,63,,,
30,المقتدر,56,الاعلى,104,,,
31,المحيى,79,الاكرم,85,,,
23,الفتاح,95,31,2211,,,
33,قابل التوب,121,,,,,
34,الرزاق,92,,,,,
35,المتين,63,,,,,
36,الاول,105,,,,,
37,الاخر,84,,,,,
38,الظ اهر,46,,,,,
39,الباطن,91,,,,,
40,القدوس,76,,,,,
41,المهيمن,61,,,,,
42,الجبار,86,,,,,
43,المتكبر,51,,,,,
44,المصور,62,,,,,
45,ب الغ امره,48,,,,,
46,الاحد,91,,,,,
47,الصمد,45,,,,,
,47,4194,,2211,,1435,7840
,,,,,,,
1,الغف ا ر,44,13,الغفار,84,,
2,الظ اهر,46,14,الظاهر,86,,
3,ب الغ امره,48,15,بالغ امره,88,,
4,الرحمن,52,16,الرحمان,92,,
5,م الك الملك,54,17,مالك الملك,94,,
6,السل ا م,55,18,السلام,95,,
7,الخ الق,56,19,الخالق,96,,
8,الخل ا ق,56,20,الخلاق,96,,
9,رفيع الدرج ات,64,21,رفيع الدرجات,104,,
10,الواحد,68,22,الواحد,108,,
11,الواسع,70,23,الواسع,110,,
12,عل ام الغيوب,83,24,علام الغيوب,123,,
25,ع الم الغيب و الشهده,131,27,عالم الغيب و الشهاده,211,,
26,بديع السم ا وات و الارض,191,29,بديع السما وات و الارض,271,,
28,فاطر السموت و الارض,217,30,فاطر السماوات و الارض,297,,
,,,,,,,
,,1235,,643,1955,,1955
,,,,1312,,,9795
