,,boxes,9,8,7,6,5,4,3,2,1,,,,,,,,,,,,,
,الم-2,2,45,88,,,,,,,,1,37-45,البعد,133,,,,,,,,,
,الم-3,7,54,,104,51,50,49,48,,92,2,46-54,,448,,,,,,,,,
,المص-7,8,252,186,305,360,177,58,,168,55,3,55-63,,1561,,,,,,,,,
1st D,الر-10,7,,,140,138,204,67,198,325,192,4,64-72,,1264,,,,,,,,,
,الر-11,5,,80,237,78,,76,,74,,5,73-81,,545,,,,,,,,,
,الر-12,7,90,,88,87,172,255,168,249,,6,82-90,1st,1109,,,,,,,,,
,المر-13,6,,98,,192,190,376,,276,182,7,91-99,,1314,,,,,,,,,
,الر-14,5,108,107,,210,208,,,,200,8,100-108,,833,,,,,,,,,
,الر-15,1,,,,,,,,110,,9,109-117,,110,,,,,,,,,
,كهيعص-19,4,,,,123,,121,,119,118,10,118-126,,481,,,,,,,,,
,طه-20,2, ,134,,,131,,,,,11,127-135,الاول,265,4112,2056,,,,,,,
,طسم-26,,,,,,,,,,,12,136-144,,,,,,,,,,,
2nd,طسم-27,,,,,,,,,,,13,145-153,2nd,,,,,,,,,,
,طسم-28,,,,,,,,,,,14,154-162,,,,,,,,,,,
3rd,الم-29,1,171,,,,,,,,,15,163-171,3rd,171,,,,,,,,,
4TH,الم-30,,,,,,,,,,,16,172-180,4th,,,,,,,,,,
4th,,,,,,,,,,,,,,,,,,,,,,,,
,الم-31,2,,188,,186,,,,,,17,181-189,5th,374,,,,,,,,,
5th,الم-32,1,,,,,,,,191,,18,190-198,,191,565,,,,,,,,
6th,يس-36,,,,,,,,,,,19,199-207,6th,,,,,,,,,,
7th,ص-38,1,,,,,,211,,,,20,208-216,7th,211,,,,,,,,,
,حم40,1,,,,,,,,,217,21,217-225,السابع,217,,,,,,,,,
8th,حم-41,,,,,,,,,,,22,226-234,البعد,,,,,,,,,,
,حم-عسق-42,,,,,,,,,,,23,235-243,,,,,,,,,,,
,حم-43,,,,,,,,,,,24,244-252,8th,,,,,,,,,,
,حم44,,,,,,,,,,,25,253-261,,,,,,,,,,,
,حم-45,,,,,,,,,,,26,262-270,الثامن,,,,,,,,,,
9th,حم-46,1,,,,,,,,,271,27,271-279,9th,271,,,,,,,,,
10th,ق-50,,,,,,,,,,,28,290-296,10th,,,,,,,,,,
11th,ن-68,1,297,,,,,,,,,29,289-297,11th,297,,,,,,,,,
,,62,,,,,,,,,,,,,,,,,,,,,,
,,,1017,881,874,1425,1132,1213,414,1512,1327,9795,,,9795,total,,,,,,,,
IN BETWEEN,STATIC,,,,,,,,,,,,,,7840,,,,,,,,,
EVEN,DYNAMIC,,,,,,,,,,,,,,8560,,,,,,,,,
216,,,,,,,,,,,,,,,216,,,,,,,,,
,,,,,,,,,,,,,,,26411,Manifold,TOTAL,,,,,,,
