1,الغف ا ر,1,44,غ ف ر,234,ى-14-1-¶,#   000440,يحتوى على 0440 ¶,# وضعت لادخل الصفر فى اليسار,,13,الغفار,84,5,indexed 10 on the st list 15appeared as the26th name in Allah list,234,ى-14-1-¶-Ʉ,#   04000440,يحتوى على 0440 ¶-Ʉ,# وضعت لادخل الصفر فى اليسار,,4,,
2,الظ اهر,2,46,ظ ه ر,59,ل-38-9-¶,#   020440,يحتوى على  0440 ¶,# وضعت لادخل الصفر فى اليسار,,14,الظاهر,86,4,ظ ه ر,59,ل-38-9-¶-Ʉ,#   02400440,يحتوى على  0440 ¶-Ʉ,# وضعت لادخل الصفر فى اليسار,,3,,
3,ب الغ امره,3,48,ب ل غ-أ م ر,325,ل-45-10,20040042,,,,15,بالغ امره,88,5,ب ل غ-أ م ر,325,ل-45-10-¶-Ʉ,2004004402,يحتوى على  0440-¶-Ʉ,,,6,,
4,الرحمن,4,52,ر ح م,339,ن-1-1-¶,1070440,يحتوى على 0440 ¶,,,16,الرحمان,92,4,ر ح م,339,ن-1-1-¶-Ʉ,140070440,يحتوى على 0440 ¶-Ʉ,,,4,,
5,م الك الملك,5,54,م ل ك,206,ن-2-2-¶,140440140,يحتوى على 0440 ¶,,,17,مالك الملك,94,4,م ل ك,206,ن-2-2-¶-ȸ-Ʉ,14044014400,يحتوى على 0440 ¶-Ʉ,يحتوى على  1440 ȸ-Ʉ,,4,,
6,السل ا م,6,55,س ل م,140,ى-20-2,#   047440,# وضعت لادخل الصفر فى اليسار,,,18,السلام,95,3,س ل م,140,ى-20-Ʉ-2,#   04047440,# وضعت لادخل الصفر فى اليسار,,,2,,
7,الخ الق,7,56,خ ل ق,261,ل-21-6-¶,840440,يحتوى على  0440 ¶,,,19,الخالق,96,3,خ ل ق,261,ل-21-Ʉ6-¶,84400440,يحتوى على  0440 ¶-Ʉ,,,3,,
8,الخل ا ق,8,56,خ ل ق,261,ل-29-8-¶,840440,يحتوى على  0440 ¶,,,20,الخلاق,96,3,خ ل ق,261,ل-29-8-¶-Ʉ,84040440,يحتوى على  0440 ¶-Ʉ,,,3,,
9,رفيع الدرج ات,9,64,ر ف ع-د ر ج,49,ن-28-3-ȸ ¶,21400,440000440,يحتوى على 0440 ¶,114,21,رفيع الدرجات,104,8,ر ف ع-د ر ج,49,ن-28-3-¶-Ʉ,21400,44040000440,يحتوى على 0440 ¶-Ʉ,,8,,
10,الواحد,10,68,و ح د,68,ل-26-7,#   0717440,# وضعت لادخل الصفر فى اليسار,,,22,الواحد,108,3,و ح د,68,ل-26-Ʉ-7,#   074017440,# وضعت لادخل الصفر فى اليسار,,,2,,
11,الواسع,11,70,و س ع,32,ل-5-1,2717440,,,,23,الواسع,110,2,و س ع,32,ل-5-1-Ʉ,274017440,,,,2,,
& ,عل ام الغيوب,12,83,علم-غيب,914,ل-13-3-¶,217140440042,يحتوى على  0440 ¶,,,24,علام الغيوب,123,4,علم-غيب,914,ل-13-3-¶-Ʉ,21714044004042,يحتوى على  0440 ¶-Ʉ,,,5,,
25,ع الم الغيب و الشهده,13,131,ع ل م-غ ى ب-ش ه د,974,ل-18-5-¶¶,42,2140440 0,202044017,يحتوى على 0440 ¶¶,27,عالم الغيب و الشهاده,211,8,ع ل م-غ ى ب-ش ه د,974,ل-18-5-¶¶¶-Ʉ,4402,2140440 0,20402044017,يحتوى على 0440 ¶¶¶-Ʉ,8,,
26,number 26,14,191,ب د ع-س م و-ارض,846,ل-6-2 ¶,21402,41707440,4044017,يحتوى على 0440 ¶,29,بديع السما وات و الارض,271,9,,846,ل-6-2-¶-Ʉ,21402,440174007440,# 004044017,يحتوى على 0440 ¶,9,,
28,فاطر السموت و الارض,15,217,ف ط ر- س م و-ارض,862,ل-14-4-¶¶,4400,41707440,4044017,يحتوى على 0440 ¶¶,30,فاطر السماوات و الارض,297,8,ف ط ر- س م و-ارض,862,ل-14-4-¶¶-Ʉ,4400,440174007440,4044017,يحتوى على 0440 ¶¶-Ʉ,8,,
,,,1235,11 ¶,5570,,,,,13 ¶,, ,1955,73,,5570,15 ¶,,15 ¶,,,71,,
,,,,4,,,,,,15 ¶,,3,,صفر,7                          17,206,,,,,الابعاد الخالية,17,,
,,,,15,,,,,,28 ¶,,15,,,,5776,,,,,,54,,
,,,,,,,,,,, ,,,,,,,,,,بعد داخلى,40,,
,,,,,,,,,,,,,,,,,,,,4,خارجى,14,10,
,,,,,,,جذر الفعل,الاسم,الترتيب,وزن الاسم كتابة,,ترتيب المثاني- نطق,الاسم,وزن الاسم- رقم السورة,اسم السورة,عدد ايات, ,,,يمين,مشترك,3,يسار,
,,,,,,,234,الغف ا ر,1,44,,13,الغفار,84,الانشقاق,25,,,,,,,,
,,,,,,,59,الظ اهر,2,46,,14,الظاهر,86,الطارق,17,,,,,,,,
,,,,,,,325,ب الغ امره,3,48,,15,بالغ امره,88,الغاشية,26,,,,,,,,
,,,,,,,339,الرحمن,4,52,,16,الرحمان,92,الليل,21,,,,,,,,
,,,,,,,206,م الك الملك,5,54,,17,مالك الملك,94,الشرح,8,,,,,,,,
,,,,,,,140,السل ا م,6,55,,18,السلام,95,التين,8,,,,,,,,
,,,,,,,,الخ الق,7,56,,19,الخالق,96,,,,,,,,,,
,,,,,,,,الخل ا ق,8,56,,20,الخلاق,96,,,,,,,,,,
,,,,,,,49,رفيع الدرج ات,9,64,,21,رفيع الدرجات,104,الهمزة,9,,,,,,,,
,,,,,,,1352,,,363,المجموع,114,,643,,114,المجموع,,,,,,,
,,,,,,,,,,وزن ساكن,,,,وزن نطق,,,,,,,,,,
,,,,,,,,,,,,,,835,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,the 7 mathan sum of their verb roots = 1352,,,the total sum of 7 dyn mathan ,,,,,,,,,,,,
