ترتيب,قائمة الله,code-1,code-Z,code -1 dy,قائمة الرحمن,,code-z,,قائمة الرحيم,code-1,,coce-z,,
1,الله,50,22,,الرحمن,52,87,104,الرحيم,65,1,50,,
2,المحيط,69,40,,م الك الملك,54,54,71,القدير,66,2,37,,
3,التواب,107,45,,العليم,64,40,,الولى,79,3,24,,
4,البارئ,100,55,,الحكيم,66,40,,النصير,60,4,75,,
5,الواسع,70,36,,البصير,61,38,,الرؤف,61,5,29,,
6,بديع السم ا وات و الارض,191,51,85,السميع ,67,41,,الشاكر,85,6,45,,
7,القريب,68,38,,العزيز,60,23,,الغفور,61,7,29,,
8,القيوم,83,40,,الحليم,69,41,,المولى,79,8,41,,
9,الحميد,65,43,,الخبير,60,38,,العفو,63,9,19,,
10,الوهاب,105,43,,الحى,65,29,,المجيب,60,10,45,,
11,جامع الناس,134,115,,العلى,64,24,,الودود,78,11,26,,
12,المقيت,70,45,,العظيم,60,50,,المستعان,98,12,104,,
13,عل ام الغيوب,83,46,63,الغنى,59,65,,الحفى,65,13,24,,
14,فاطر السموت و الارض,217,70,104,القائم بالقسط,171,76,,الغف ا ر,44,14,28,45,
15,كاشف الضر,85,29,,الشهيد,60,30,,الهادى,100,15,47,,
16,القاهر,94,45,,الوكيل,80,24,,الكريم,59,16,50,,
17,القادر,92,49,,الرقيب,68,38,,الشكور,62,17,28,,
18,علم الغيب و الشهده,131,74,108,الحسيب,74,29,,غافر الذنب,87,18,93,,
19,فالق الاصباح,186,76,,الكبير,61,38,,البر,46,19,65,,
20,المخرج,44,28,,الحق,59,18,,السل ا م,55,20,38,53,
21,الخ الق,56,19,36,الحكم,52,35,,المؤمن,62,21,77,,
22,اللطيف,66,25,,القوى,83,23,,21,1435,st,974,98,1072
23,الاخذ بالناصية,188,118,,الحفيظ,65,25,,,,,974,,
24,المجيد,58,44,,الغالب,90,24,,dyn,,,98,,
25,فعال لما يريد,118,60,,الوالى,119,41,,,,comb,1072,,
26,الواحد,68,28,45,الكفيل,63,25,,,,,,,
27,القهار,94,48,,الملك,49,61,,,,,,,
28,المتعال,94,58,,رفيع الدرج ات,64,53,70,,,,,,
29,الخل ا ق,56,19,36,المليك,63,66,,,,,,,
30,المقتدر,56,53,,الاعلى,104,41,,,,,,,
31,المحيى,79,45,,الاكرم,85,87,245,,,,,,
23,الفتاح,95,41,,31,2211,1304,245,1549,,,,,
33,قابل التوب,121,51,,st,2211,1304,,,,,,,
34,الرزاق,92,45,,dyn,245,,,,,,,,
35,المتين,63,83,,comb,2456,,,,,,,,
36,الاول,105,36,,,,,,,,,,,
37,الاخر,84,45,62,,,,,,,,,,
38,الظ اهر,46,32,49,,,,,,,,,,
39,الباطن,91,77,,,,,,,,,,,
40,القدوس,76,22,,,,,,,,,,,
41,المهيمن,61,102,,,,,,,,,,,
42,الجبار,86,50,,,,,,,,,,,
43,المتكبر,51,55,,,,,,,,,,,
44,المصور,62,28,,,,,,,,,,,
45,ب الغ امره,48,53,70,,,,,,,,,,
46,الاحد,91,39,,,,,,,,,,,
47,الصمد,45,39,658,,,,,,,,,,
,47,4194,2305,658,,,,,,,,,,
,st,4194,658,,,,,,,,,,,
,,,2963,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
